,Id do vídeo,Título do vídeo,Descrição do vídeo,Quantidade de Likes,Quantidade de Views,Quantidade de comentários,Url da Thumbnail,Hora de publicação do vídeo (ISO 8601),Data de publicação do vídeo
44,PIh2xe4jnpk,MAGIC! - Rude (Official Video),"“Don’t Kill the Magic”, the debut album from MAGIC!, Available Now on iTunes: http://smarturl.it/DKTMiTunes?IQid=yt  Follow Magic! Website http://www.ournameismagic.com  Facebook https://www.facebook.com/ournameisMAGIC Twitter https://twitter.com/ournameismagic Instagram http://instagram.com/ournameismagic  Music video by MAGIC! performing Rude. (C) 2013 Sony Music Entertainment International Limited",11734830,2462073358,254155,https://i.ytimg.com/vi/PIh2xe4jnpk/default.jpg,05:01:00,06/12/2013
45,rYEDA3JcQqw,Adele - Rolling in the Deep (Official Music Video),"Listen to ""Easy On Me"" here: http://Adele.lnk.to/EOM
Pre-order Adele's new album ""30"" before its release on November 19:  https://www.adele.com
Shop the ""Adele"" collection here: http://shop.adele.com

Buy/Listen 25: http://smarturl.it/25Album?IQid=yt Buy/Listen 21: http://smarturl.it/Adele21Album?IQid=yt Buy/Listen 19: http://smarturl.it/19Album?IQid=yt   Follow Adele on: Facebook - http://facebook.com/adele Twitter - http://twitter.com/adele Instagram - http://instagram.com/adele Subscribe to the Adele VEVO Channel - http://smarturl.it/SubscribeAdele?IQid=yt  Visit - www.adele.com",12913544,2462058785,425925,https://i.ytimg.com/vi/rYEDA3JcQqw/default.jpg,23:29:12,30/11/2010
46,5bw0vtdn4lU,"Tiësto, Rudimental & Absolutely - Waterslides (Official Lyric Video)","Tiësto, Rudimental & Absolutely - Waterslides (Official Lyric Video)
Listen now: https://tiesto.lnk.to/waterslidesID

Video Produced by https://351studio.com

Make sure to subscribe to Tiësto’s  channel and turn on notifications to stay updated with all new uploads: https://tsto.co/YTSubscribe 

Get more music from Tiësto:
Spotify: https://tsto.co/spotify
Apple Music: https://tsto.co/AppleMusic
Soundcloud: https://tsto.co/Soundcloud
Deezer: https://tsto.co/Deezer

Shop the Tiësto Store: https://tsto.co/shop

Follow Tiësto:
https://www.Tiesto.com/ 
Facebook: https://tsto.co/Facebook
Instagram: https://tsto.co/Instagram
Twitter: https://tsto.co/Twitter
Snapchat: https://tsto.co/Snap
Subscribe to his YouTube channel: https://tsto.co/YTSubscribe

See Tiësto live: https://tsto.co/Tour",5523,460338,214,https://i.ytimg.com/vi/5bw0vtdn4lU/default.jpg,05:00:02,26/01/2024
47,GxldQ9eX2wo,Stephen Sanchez - Until I Found You (Official Video),"""Until I Found You"" by Stephen Sanchez from the debut album Angel Face.

Stream/download: https://stephensanchez.lnk.to/angelface

See Stephen on tour this year: https://stephensanchezofficial.com/tour
Sign up for Stephen's mailing list: https://stephensanchezofficial.com

Follow Stephen Sanchez:
Instagram: https://StephenSanchez.lnk.to/Instagram
TikTok: https://StephenSanchez.lnk.to/TikTok
Twitter: https://StephenSanchez.lnk.to/Twitter
Spotify: https://StephenSanchez.lnk.to/Spotify
Apple Music: https://StephenSanchez.lnk.to/AppleMusic 

#stephensanchez #angelface

Music video by Stephen Sanchez performing Until I Found You. © 2022 Stephen Sanchez, under exclusive license to Mercury Records/Republic Records, a division of UMG Recordings, Inc.",3710620,297972582,47007,https://i.ytimg.com/vi/GxldQ9eX2wo/default.jpg,19:00:11,28/06/2022
48,lY2yjAdbvdQ,Shawn Mendes - Treat You Better,"New album WONDER available now
Listen here: https://wonder.lnk.to/OutNow

Follow Shawn Mendes
Instagram | https://www.instagram.com/shawnmendes/
Twitter | https://twitter.com/ShawnMendes
Facebook | https://www.facebook.com/ShawnMendesOfficial
Snap | https://www.snapchat.com/add/shawnmendes1
TikTok | https://www.tiktok.com/@shawnmendes
Website | http://www.shawnmendesofficial.com/

Subscribe to YouTube
https://ShawnMendes.lnk.to/Subscribe-OnYouTube",11556296,2436859156,278940,https://i.ytimg.com/vi/lY2yjAdbvdQ/default.jpg,17:00:05,12/07/2016
49,8bsqfvjr07c,Mia Rodriguez - Ride (Official Visualizer),"Pre-save ""Ride"" - https://mia-rodriguez.lnk.to/RideID

Subscribe: https://Mia-Rodriguez.lnk.to/SubscribeID

https://www.miarodriguezofficial.com/

Follow Mia:
https://www.instagram.com/miaaarodriguezzz
https://twitter.com/miarodriguezxxx​
https://www.tiktok.com/@mia.rodriguez.z.z
https://triller.co/@miarodriguezofficial
https://soundcloud.com/miarodriguezofficial
https://www.facebook.com/MiaRodriguezOfficial

#MiaRodriguez #Ride",6446,251542,348,https://i.ytimg.com/vi/8bsqfvjr07c/default.jpg,07:30:09,08/02/2024
50,rtOvBOTyX00,Christina Perri - A Thousand Years [Official Music Video],"© 2011 WMG

the official music video of “a thousand years”
 
buy/listen to 'a thousand years': https://christinaperri.lnk.to/athousandyears
directed by jay martin

""a thousand years"" is a song me + my best friend david hodges wrote for bella + edward. we wrote it after we so luckily screened the movie + i couldn't be more proud of this song. to all my fellow twihards, thanks for hearing the e/b love :)

follow christina perri:
- website: http://christinaperri.com
- facebook: http://facebook.com/christinaperrimusic
- instagram: https://instagram.com/christinaperri/
- twitter: http://twitter.com/christinaperri
- tiktok: https://tiktok.com/@christinaperri

#ChristinaPerri #AThousandYears",14870411,2400722576,502245,https://i.ytimg.com/vi/rtOvBOTyX00/default.jpg,20:55:17,26/10/2011
51,MGdH0Lm7f0I,Ellie Goulding - Love Me Like You Do (Lyrics),"🎵 Follow 7clouds on Spotify : http://bit.ly/7CLOUDS
🎧 Ellie Goulding - Love Me Like You Do (Lyrics)
⏬ Download / Stream: http://ell.li/DELIRIUMSpotify 
🔔 Turn on notifications to stay updated with new uploads!
 
👉 Ellie Goulding:
http://instagram.com/elliegoulding
http://facebook.com/elliegoulding
http://twitter.com/elliegoulding

❤️ Follow our Spotify playlists: http://bit.ly/7cloudsSpotify

☁️ 7clouds:
https://open.spotify.com/user/7cloudsmusic
https://instagram.com/7cloudsmusic
https://facebook.com/7cloudsmusic
https://twitter.com/7cloudsmusic

.........
🎤 Lyrics: Ellie Goulding - Love Me Like You Do

You're the light, you're the night
You're the colour of my blood
You're the cure, you're the pain
You're the only thing I wanna touch
Never knew that it could mean so much, so much

You're the fear, I don't care
'Cause I've never been so high
Follow me to the dark
Let me take you past our satellites
You can see the world you brought to life, to life

So love me like you do, la-la-love me like you do
Love me like you do, la-la-love me like you do
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?

Fading in, fading out
On the edge of paradise
Every inch of your skin is a holy grail I've got to find
Only you can set my heart on fire, on fire
Yeah, I'll let you set the pace
'Cause I'm not thinking straight
My head's spinning around I can't see clear no more
What are you waiting for?

Love me like you do, la-la-love me like you do (like you do)
Love me like you do, la-la-love me like you do
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?

Love me like you do, la-la-love me like you do (like you do)
Love me like you do, la-la-love me like you do (yeah)
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?

I'll let you set the pace
'Cause I'm not thinking straight
My head's spinning around I can't see clear no more
What are you waiting for?

Love me like you do, la-la-love me like you do (like you do)
Love me like you do, la-la-love me like you do (yeah)
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?

Love me like you do, la-la-love me like you do (like you do)
Love me like you do, la-la-love me like you do (oh)
Touch me like you do, ta-ta-touch me like you do
What are you waiting for?
.........
📷 Wallpaper: https://unsplash.com/
.........
📧 Contact / Demo Submissions: contact@7clouds.org
.........
💌 Demos / Music Submissions: https://7clouds.edmdistrict.com
.........

#EllieGoulding  #LoveMeLikeYouDo #Lyrics",192065,12408588,3976,https://i.ytimg.com/vi/MGdH0Lm7f0I/default.jpg,16:46:09,11/07/2020
52,lWA2pjMjpBs,Rihanna - Diamonds,"Get Rihanna’s eighth studio album ANTI now:
Download on TIDAL: http://smarturl.it/downloadANTI
Stream on TIDAL: http://smarturl.it/streamANTIdlx
Download on iTunes: http://smarturl.it/dlxANTI
Download on Google Play: http://smarturl.it/ANTIdlxgp
Download on Amazon: http://geni.us/amzANTI 

http://www.vevo.com/watch/USUV71201766?utm_source=youtube&utm_medium=description&utm_campaign=ytd

Music video by Rihanna performing Diamonds. ©:  The Island Def Jam Music Group",11269610,2299493047,412593,https://i.ytimg.com/vi/lWA2pjMjpBs/default.jpg,00:18:50,09/11/2012
53,kTJczUoc26U,"The Kid LAROI, Justin Bieber - STAY (Official Video)","Official video for “Stay” by The Kid LAROI & Justin Bieber.
 
Listen & Download “Stay” out now: https://thekidlaroi.lnk.to/Stay
 
Amazon Music - https://thekidlaroi.lnk.to/Stay/amazonmusic
Apple Music - https://thekidlaroi.lnk.to/Stay/applemusic
Audiomack - https://thekidlaroi.lnk.to/Stay/audiomack
Deezer - https://thekidlaroi.lnk.to/Stay/deezer
iTunes - https://thekidlaroi.lnk.to/Stay/itunes
SoundCloud - https://thekidlaroi.lnk.to/Stay/soundcloud
Spotify - https://thekidlaroi.lnk.to/Stay/spotify
YouTube Music - https://thekidlaroi.lnk.to/Stay/youtubemusic
 
Directed by Colin Tilley
Executive Produced by Jamee Ranta, Colin Tilley
Produced by Jack Winter
Cinematographer Elias Talbot
Editor Vinnie Hobbs @ VHpost
Color Bryan Smaller
Vfx Digital axis
Production Co Boy in the Castle, LLC
 
Follow The Kid LAROI
Facebook - https://www.facebook.com/thekidlaroi
Instagram - https://www.instagram.com/thekidlaroi/
Twitter - https://twitter.com/thekidlaroi
TikTok - https://www.tiktok.com/@thekidlaroi
 
Follow Justin Bieber
Facebook - https://www.facebook.com/JustinBieber
Instagram - https://www.instagram.com/justinbieber/
Twitter - https://twitter.com/justinbieber
TikTok - https://www.tiktok.com/@justinbieber
 
#TheKidLAROI #JustinBieber #Stay",11254949,864717216,262139,https://i.ytimg.com/vi/kTJczUoc26U/default.jpg,04:00:12,09/07/2021
54,cJuI4ThnnRc,"Johnny Stimson, Tim Atlas, Jesse Barrera - Ramen (Official Video)","Stream ""Ramen"" anywhere :)
https://johnny.johnnystimson.com/ramen

Follow Johnny Stimson:
Instagram:  http://bit.ly/2iqacB1
Tik Tok: https://bit.ly/342S6AE

Follow Tim Atlas
Instagram: https://www.instagram.com/timothyatlas
Tik Tok: https://www.tiktok.com/@timothyatlas 

Follow Jesse Barrera
Instagram:  https://www.instagram.com/jessebarrera
Tik Tok: https://www.tiktok.com/@jessebarreramusic

-----------------------------------------------------

Written by Johnny Stimson, Jesse Barrera, Tim Atlas & Grant Terry
Produced by Jesse Barrera & Johnny Stimson

Director and Cinematography: Justin Oppus
Assistant Camera: Romina Berberi
Editing: Johnny Stimson
-----------------------------------------------------
Lyrics: 

We’ve been working all day
Let’s kick back and take a little break
The sunset is shining its light on you again
Download tell me everything
Highs lows and in betweens 
You’re in slow motion like a movie scene so beautiful
And I know everything is right where it should be

We’re in the kitchen eating ramen
We’ve got a candlelit table set for two
I love our little apartment
‘Cause it’s making me feel so close to you
And now I’m taking a picture in my head
So I can remember this moment
Here in the kitchen eating ramen
Got everything I ever wanted

We were thinking the same thing
Let’s tuck away all the pressure from outside
I wanna find your legs in the duvet ’til it’s
Past 5 and the sunshine fades in
Baby my whole solar system
Revolves around you     
And I know everything is right where it should be

We’re in the kitchen eating ramen
We’ve got a candlelit table set for two
I love our little apartment
‘Cause it’s making me feel so close to you
And now I’m taking a picture in my head
So I can remember this moment
Here in the kitchen eating ramen
Got everything I ever wanted

Baby I’ve got all that I want
Oh baby I’ve got all that I need
Oh baby I know that we belong together

Baby I’ve got all that I want
Oh baby I’ve got all that I need
Oh baby hope it feels like this forever",3196,106300,105,https://i.ytimg.com/vi/cJuI4ThnnRc/default.jpg,04:30:11,08/12/2023
55,PMivT7MJ41M,Bruno Mars - That’s What I Like [Official Music Video],"The official music video for Bruno Mars' ""That’s What I Like"" from the album ‘24K Magic’.
Stream/Download: https://atlantic.lnk.to/ThatsWhatILike

Directed by Bruno Mars and Jonathan Lia

🔔 Subscribe for the latest official music videos, live performances, lyric videos, official audio, and more ➤ https://Atlantic.lnk.to/BMsubscribe

Watch All Of Bruno Mars’ Official Music Videos ➤ https://bit.ly/2U7I3mi

Follow Bruno Mars:
http://www.brunomars.com
http://www.instagram.com/brunomars
http://www.twitter.com/brunomars
http://www.facebook.com/brunomars

The official YouTube channel of Atlantic Records artist Bruno Mars. 
 
11x GRAMMY Award winner and 27x GRAMMY Award nominee Bruno Mars is a celebrated singer, songwriter, producer, and musician with iconic hits like ""The Lazy Song"", ""That's What I Like"", ""Just The Way You Are"", ""24K Magic"", ""Locked Out Of Heaven"", and ""When I Was Your Man"". His legendary body of work also includes blockbuster albums such as Doo-Wops & Hooligans, Unorthodox Jukebox, and 24K Magic, as well as era-defining collaborations like ""Uptown Funk"" with Mark Ronson, ""Finesse"" with Cardi B, and ""Nothin' On You"" with B.o.B. Forever classic, yet supremely innovative, Bruno continues to redefine music, style, and popular culture, pushing the boundaries of pop, R&B, funk, soul, hip-hop, and dance, and remains as influential as ever.

#BrunoMars #ThatsWhatILike #24KMagic #AllThisIsHereForYou",13310195,2255596030,386849,https://i.ytimg.com/vi/PMivT7MJ41M/default.jpg,02:00:11,02/03/2017
56,NywWB67Z7zQ,Justin Bieber - What Do You Mean? (Lyric Video),"‘Purpose’ Available Everywhere Now!
iTunes: http://smarturl.it/PurposeDlx?IQid=VEVO1113 
Stream & Add To Your Spotify Playlist: http://smarturl.it/sPurpose?IQid=VEVO1113 
Google Play: http://smarturl.it/gPurpose?IQid=VEVO1113 
Amazon: http://smarturl.it/aPurpose?IQid=VEVO1113 

Director: Laban
Production Company: SB Films, Occupy Films
Producers: Justin Bieber, Scott ""Scooter"" Braun, Cori Weber
Video Commissioner: Cori Weber
Director of Photography: Erik Bragg, Jeff Morris, Marque Cox, Mike Brown
 
Download or stream the single below:
iTunes: http://smarturl.it/iWDYM?IQid=YT
Google: http://smarturl.it/gWDYM?IQid=YT
Amazon: http://smarturl.it/aWDYM?IQid=YT
Stream On Spotify & Add To Your Playlist: http://smarturl.it/sWDYM?IQid=YT
 
Follow Justin:
http://facebook.com/justinbieber
http://twitter.com/justinbieber
http://instagram.com/justinbieber
http://shots.com/justinbieber 
http://fahlo.me/justinbieber
And sign up to Justin’s newsletter: http://justinbiebermusic.com
Snapchat: rickthesizzler

Featuring Ryan Sheckler:
http://facebook.com/RyanSheckler
http://twitter.com/RyanSheckler
http://instagram.com/RyanSheckler
http://redbull.tv/shecklersessions4
Snapchat: tickle_shecks
 
Lyrics:
What do you mean?
When you nod your head yes
But you wanna say no
What do you mean?
When you don’t want me to move
But you tell me to go
What do you mean?
Said we’re running out of time
Trying to catch the beat make up your mind
What do you mean?
Better make up your mind
What do you mean?
You’re so indecisive of what I’m saying
Don’t want us to end where do I start
First you wanna go left and you want to turn right
First you up and you’re down and then between

Ohh I really want to know…

When you nod your head yes
But you wanna say no
What do you mean?
What do you mean?
But you tell me to go
Said we’re running out of time
What do you mean?
Better make up your mind
What do you mean?
You’re overprotective when I’m leaving
Trying to compromise but I can’t win
You wanna make a point but you keep preaching
You had me from the start won’t let this end
First you wanna go left and you want to turn right
Wanna argue all day make love all night
First you up and you’re down and then between
Ohh I really want to know…
What do you mean?
When you nod your head yes
What do you mean?
When you don’t want me to move
But you tell me to go
What do you mean?
Said we’re running out of time
What do you mean?
Better make up your mind
What do you mean?

http://vevo.ly/pEGQgx",1789919,225439444,89408,https://i.ytimg.com/vi/NywWB67Z7zQ/default.jpg,11:00:00,28/08/2015
57,PN5ODahAoM4,Faux Real - Rent Free (Official Video),"""Rent Free"" is out now on City Slang. Listen/download: https://fauxreal.lnk.to/RentFreeYD
[ɴᴏ ᴀɴɪᴍᴀʟꜱ ᴡᴇʀᴇ ʜᴀʀᴍᴇᴅ ɪɴ ᴛʜᴇ ᴍᴀᴋɪɴɢ ᴏꜰ ᴛʜɪꜱ ᴠɪᴅᴇᴏ]

★★★★★★★★★★★★★★★★★★
Lyrics

ᴄᴀɴ ɪ ꜰɪɴᴅ ᴀ ᴡᴀʏ 
ᴛᴏ ɢᴇᴛ ʏᴏᴜ ᴛᴏ ꜱᴛᴀʏ 
ᴊᴜꜱᴛ ᴀɴᴏᴛʜᴇʀ ᴅᴀʏ 
ᴡᴀɪᴛɪɴɢ ꜰᴏʀ ᴛʜᴇ ʀᴀɪɴ

ɪ ᴊᴜꜱᴛ ᴡᴀɴᴛ ᴛᴏ ᴛᴀᴋᴇ ᴛɪᴍᴇ 
ᴄᴀʀᴇ ꜰᴏʀ
ꜱᴇᴇ ᴛʜʀᴏᴜɢʜ
ᴛᴇʟʟ ᴍᴇ ᴡʜᴀᴛ ʏᴏᴜ ɴᴇᴇᴅ ᴛᴏ 
ʙᴇ ᴛʀᴜᴇ

ᴄᴀɴ’ᴛ ᴛᴇʟʟ ɪꜰ ʏᴏᴜ’ʀᴇ ᴄᴏᴜɴᴛɪɴɢ ᴍᴇ ᴏᴜᴛ
ɪ ᴅᴏɴ’ᴛ ᴄᴀʀᴇ ɪꜰ ʏᴏᴜ’ʀᴇ ᴛᴇʟʟɪɴɢ ᴍᴇ ʟɪᴇꜱ
ɪ ᴄᴏᴜʟᴅ ʟɪᴠᴇ ʀᴇɴᴛ ꜰʀᴇᴇ
ɪɴ ᴀ ʀᴏᴏᴍ ɪɴ ᴛʜᴇ ʙᴀᴄᴋ ᴏꜰ ʏᴏᴜʀ ᴍɪɴᴅ 
ɴᴏ ᴡᴏʀʀɪᴇꜱ ɪꜰ ɴᴏᴛ
ɪ ᴄᴀɴ ᴛᴇʟʟ ᴛʜᴇʀᴇ’ꜱ ᴀ ʟᴏᴛ ᴏɴ ᴛʜᴇ ʟɪɴᴇ
ɪ ᴅᴏɴ’ᴛ ᴄᴀʀᴇ ɪꜰ ʏᴏᴜ ᴘʀᴇᴛᴇɴᴅ ᴛᴏ ʙᴇ ᴍɪɴᴇ 
ɪ ᴄᴏᴜʟᴅ ʟɪᴠᴇ ʀᴇɴᴛ ꜰʀᴇᴇ
ɪɴ ᴀ ʀᴏᴏᴍ ɪɴ ᴛʜᴇ ʙᴀᴄᴋ ᴏꜰ ʏᴏᴜʀ ᴍɪɴᴅ

ᴡʜᴇɴ ɪ ꜰɪɴᴅ ʏᴏᴜ ᴛʜᴇʀᴇ 
ᴡɪʟʟ ʏᴏᴜ ʙᴇ ᴛʜᴇ ꜱᴀᴍᴇ 
ɴᴏᴛʜɪɴɢ ᴍᴏʀᴇ ᴛᴏ ꜱᴀʏ 
ɴᴏᴛʜɪɴɢ ɪɴ ᴛʜᴇ ᴡᴀʏ

ɪ ᴊᴜꜱᴛ ᴡᴀɴᴛ ᴛᴏ ᴛᴀᴋᴇ ᴛɪᴍᴇ 
ᴄᴀʀᴇ ꜰᴏʀ
ꜱᴇᴇ ᴛʜʀᴏᴜɢʜ
ᴛᴇʟʟ ᴍᴇ ᴡʜᴀᴛ ʏᴏᴜ ɴᴇᴇᴅ ᴛᴏ 
ʙᴇ ᴛʀᴜᴇ

ᴄᴀɴ’ᴛ ᴛᴇʟʟ ɪꜰ ʏᴏᴜ’ʀᴇ ᴄᴏᴜɴᴛɪɴɢ ᴍᴇ ᴏᴜᴛ
ɪ ᴅᴏɴ’ᴛ ᴄᴀʀᴇ ɪꜰ ʏᴏᴜ’ʀᴇ ᴛᴇʟʟɪɴɢ ᴍᴇ ʟɪᴇꜱ
ɪ ᴄᴏᴜʟᴅ ʟɪᴠᴇ ʀᴇɴᴛ ꜰʀᴇᴇ
ɪɴ ᴀ ʀᴏᴏᴍ ɪɴ ᴛʜᴇ ʙᴀᴄᴋ ᴏꜰ ʏᴏᴜʀ ᴍɪɴᴅ 
ɴᴏ ᴡᴏʀʀɪᴇꜱ ɪꜰ ɴᴏᴛ
ɪ ᴄᴀɴ ᴛᴇʟʟ ᴛʜᴇʀᴇ’ꜱ ᴀ ʟᴏᴛ ᴏɴ ᴛʜᴇ ʟɪɴᴇ
ɪ ᴅᴏɴ’ᴛ ᴄᴀʀᴇ ɪꜰ ʏᴏᴜ ᴘʀᴇᴛᴇɴᴅ ᴛᴏ ʙᴇ ᴍɪɴᴇ 
ɪ ᴄᴏᴜʟᴅ ʟɪᴠᴇ ʀᴇɴᴛ ꜰʀᴇᴇ
ɪɴ ᴀ ʀᴏᴏᴍ ɪɴ ᴛʜᴇ ʙᴀᴄᴋ ᴏꜰ ʏᴏᴜʀ ᴍɪɴᴅ

ᴡʜᴇɴ ɪ ꜰɪɴᴅ ᴀ ᴡᴀʏ 
ᴛᴏ ɢᴇᴛ ʏᴏᴜ ᴛᴏ ꜱᴛᴀʏ 
ᴡɪʟʟ ɪᴛ ʙᴇ ᴛᴏᴏ ʟᴀᴛᴇ 
ᴛᴏ ᴇʟᴀʙᴏʀᴀᴛᴇ

ᴡʜᴀᴛ ʜᴀᴘᴘᴇɴꜱ ᴡʜᴇɴ ᴡᴇ ɢɪᴠᴇ ᴜᴘ 
ᴀɴᴅ ʀᴜɴ ᴏᴜᴛ ᴏꜰ ᴛɪᴍᴇ
ᴡᴀꜱ ɪᴛ ᴊᴜꜱᴛ ᴛᴏᴏ ɢᴏᴏᴅ
ᴛᴏ ʙᴇ ᴛʀᴜᴇ

ᴄᴀɴ’ᴛ ᴛᴇʟʟ ɪꜰ ʏᴏᴜ’ʀᴇ ᴄᴏᴜɴᴛɪɴɢ ᴍᴇ ᴏᴜᴛ
ɪ ᴅᴏɴ’ᴛ ᴄᴀʀᴇ ɪꜰ ʏᴏᴜ’ʀᴇ ᴛᴇʟʟɪɴɢ ᴍᴇ ʟɪᴇꜱ
ɪ ᴄᴏᴜʟᴅ ʟɪᴠᴇ ʀᴇɴᴛ ꜰʀᴇᴇ
ɪɴ ᴀ ʀᴏᴏᴍ ɪɴ ᴛʜᴇ ʙᴀᴄᴋ ᴏꜰ ʏᴏᴜʀ ᴍɪɴᴅ 
ɴᴏ ᴡᴏʀʀɪᴇꜱ ɪꜰ ɴᴏᴛ
ɪ ᴄᴀɴ ᴛᴇʟʟ ᴛʜᴇʀᴇ’ꜱ ᴀ ʟᴏᴛ ᴏɴ ᴛʜᴇ ʟɪɴᴇ
ɪ ᴅᴏɴ’ᴛ ᴄᴀʀᴇ ɪꜰ ʏᴏᴜ ᴘʀᴇᴛᴇɴᴅ ᴛᴏ ʙᴇ ᴍɪɴᴇ 
ɪ ᴄᴏᴜʟᴅ ʟɪᴠᴇ ʀᴇɴᴛ ꜰʀᴇᴇ
ɪɴ ᴀ ʀᴏᴏᴍ ɪɴ ᴛʜᴇ ʙᴀᴄᴋ ᴏꜰ ʏᴏᴜʀ ᴍɪɴᴅ

★★★★★★★★★★★★★★★★★★
Credits

Directed, Produced, Styled and Edited by Faux Real
Shot by Leo Schrepel
AC / Gaffer: Daniel Everett
Colored by Dante Pasquinelli @ Ethos Studio
🐾 Starring Twyla and Townes 🐾 
Special thanks to Angie and Madlen Bandari, Acne Studios, Daniel Braun, Kati Phillips and Loose Grip Studio

Written, composed, arranged and produced by Faux Real 
Mixed by Geoff Swan
Mastered by Heba Kadry

★★★★★★★★★★★★★★★★★★
Follow Faux Real

𝙄𝙣𝙨𝙩𝙖𝙜𝙧𝙖𝙢: https://fauxreal.lnk.to/InstagramYD
𝙏𝙞𝙠𝙏𝙤𝙠: https://fauxreal.lnk.to/TikTokYD
𝙒𝙚𝙗𝙨𝙞𝙩𝙚: https://www.isthisfauxreal.com

𝙎𝙥𝙤𝙩𝙞𝙛𝙮 : https://fauxreal.lnk.to/SpotifyYD
𝘼𝙥𝙥𝙡𝙚 𝙈𝙪𝙨𝙞𝙘 : https://fauxreal.lnk.to/AppleMusicYD
𝘽𝙖𝙣𝙙𝙘𝙖𝙢𝙥 : https://fauxreal.lnk.to/BandcampYD
★★★★★★★★★★★★★★★★★★

This is the official Youtube channel of Faux Real. Subscribe Now to keep up to date with all of the latest music, videos, tour information and more fauxreal.lnk.to/YouTubeYD

#FauxReal #CitySlang",316,57876,34,https://i.ytimg.com/vi/PN5ODahAoM4/default.jpg,13:55:22,07/02/2024
58,YBHQbu5rbdQ,Fifth Harmony - Worth It (Official Video) ft. Kid Ink,"“Worth It” by Fifth Harmony
Listen to Fifth Harmony: https://FifthHarmony.lnk.to/listenYD
 
Watch more Fifth Harmony videos: https://FifthHarmony.lnk.to/listenYC/youtube
 
Subscribe to the official Fifth Harmony YouTube channel: https://FifthHarmony.lnk.to/subscribeYD
 
Follow Fifth Harmony:
Facebook: https://FifthHarmony.lnk.to/followFI
Twitter: https://FifthHarmony.lnk.to/followTI
Instagram: https://FifthHarmony.lnk.to/followII
Website: https://FifthHarmony.lnk.to/followWI
Spotify: https://FifthHarmony.lnk.to/followSI
 
Lyrics:
Give it to me I'm worth it, baby, I'm worth it
Uh huh, I'm worth it, gimme gimme, I'm worth it
Give it to me I'm worth it, baby, I'm worth it
Uh huh, I'm worth it, gimme gimme, I'm worth it

#FifthHarmony #WorthIt #PopMusic #Harmonizers",11787532,2246643871,338399,https://i.ytimg.com/vi/YBHQbu5rbdQ/default.jpg,23:30:00,28/03/2015
59,450p7goxZqg,John Legend - All of Me (Official Video),"Official music video for “All of Me” by John Legend 
Listen to John Legend: https://found.ee/JohnLegend_Listen

Subscribe to the official John Legend YouTube channel: https://found.ee/JohnLegend_YTs

Watch more John Legend videos: https://found.ee/JohnLegend_YT 

Follow John Legend: 
Facebook: https://found.ee/JohnLegend_FB
Instagram: https://found.ee/JohnLegend_IG 
TikTok: https://found.ee/JohnLegend_TikTok 
Twitter: https://found.ee/JohnLegend_TW
Website: https://found.ee/JL_Official
Spotify: https://found.ee/JohnLegend_SP

#JohnLegend #AllOfMe #LoveInTheFuture

Chorus: 
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'",13025721,2353226902,252917,https://i.ytimg.com/vi/450p7goxZqg/default.jpg,14:00:06,02/10/2013
60,SKu0vAxwqd0,Gabby B - Lickorish (Official Visualizer),"Official Visualizer and choreography for “Lickorish” by Gabby B. Stream & Download the Baile Funk record here: 
https://music.gabbybmusic.com/lickorish

Follow Gabby B on Social Media: 
https://beacons.ai/gabbyb_music

Label: Muy Bueno 

Music Production: Joseph Lopez aka ""Mr. Hit Record""
Video Production: ORANGE, Drusell De Vose

Choreography: Drusell De Vose
Dancers: Charisma Gallegos, Felisha De La Paz, Dana Bonilla, Fernanda Romero

#Lickorish #Gabbyb #officialvisualizer #licorice #bailefunk #brazilianfunk",839,20742,94,https://i.ytimg.com/vi/SKu0vAxwqd0/default.jpg,05:00:02,16/02/2024
